command_tested,tick_delay,command_duration,success
LEFT,12,8,0.0
LEFT,12,9,0.0
LEFT,12,10,0.0
LEFT,12,11,0.0
LEFT,12,12,0.0
LEFT,12,13,0.0
LEFT,12,14,0.0
LEFT,12,15,0.0
LEFT,12,16,0.0
LEFT,12,17,0.0
LEFT,12,18,0.0
LEFT,12,19,0.0
LEFT,12,20,0.0
LEFT,12,21,0.0
LEFT,12,22,0.0
LEFT,12,23,0.0
LEFT,12,24,0.0
LEFT,12,25,0.0
LEFT,12,26,0.0
LEFT,12,27,0.0
LEFT,12,28,0.0
LEFT,12,29,0.0
LEFT,12,30,0.0
LEFT,13,0,0.0
LEFT,13,1,0.0
LEFT,13,2,0.0
LEFT,13,3,0.0
LEFT,13,4,0.0
LEFT,13,5,0.0
LEFT,13,6,0.0
LEFT,13,7,0.0
LEFT,13,8,0.0
LEFT,13,9,0.0
LEFT,13,10,0.0
LEFT,13,11,0.0
LEFT,13,12,0.0
LEFT,13,13,0.0
LEFT,13,14,0.0
LEFT,13,15,0.0
LEFT,13,16,0.0
LEFT,13,17,0.0
LEFT,13,18,0.0
LEFT,13,19,0.0
LEFT,13,20,0.0
LEFT,13,21,0.0
LEFT,13,22,0.0
LEFT,13,23,0.0
LEFT,13,24,0.0
LEFT,13,25,0.0
LEFT,13,26,0.0
LEFT,13,27,0.0
LEFT,13,28,0.0
LEFT,13,29,0.0
LEFT,13,30,0.0
LEFT,14,0,0.0
LEFT,14,1,0.0
LEFT,14,2,0.0
LEFT,14,3,0.0
LEFT,14,4,0.0
LEFT,14,5,0.0
LEFT,14,6,0.0
LEFT,14,7,0.0
LEFT,14,8,0.0
LEFT,14,9,0.0
LEFT,14,10,0.0
LEFT,14,11,0.0
LEFT,14,12,0.0
LEFT,14,13,0.0
LEFT,14,14,0.0
LEFT,14,15,0.0
LEFT,14,16,0.0
LEFT,14,17,0.0
LEFT,14,18,0.0
LEFT,14,19,0.0
LEFT,14,20,0.0
LEFT,14,21,0.0
LEFT,14,22,0.0
LEFT,14,23,0.0
LEFT,14,24,0.0
LEFT,14,25,0.0
LEFT,14,26,0.0
LEFT,14,27,0.0
LEFT,14,28,0.0
LEFT,14,29,0.0
LEFT,14,30,0.0
LEFT,15,0,0.0
LEFT,15,1,0.0
LEFT,15,2,0.0
LEFT,15,3,0.0
LEFT,15,4,0.0
LEFT,15,5,0.0
LEFT,15,6,0.0
LEFT,15,7,0.0
LEFT,15,8,0.0
LEFT,15,9,0.0
LEFT,15,10,0.0
LEFT,15,11,0.0
LEFT,15,12,0.0
LEFT,15,13,0.0
LEFT,15,14,0.0
LEFT,15,15,0.0
LEFT,15,16,0.0
LEFT,15,17,0.0
LEFT,15,18,0.0
LEFT,15,19,0.0
LEFT,15,20,0.0
LEFT,15,21,0.0
LEFT,15,22,0.0
LEFT,15,23,0.0
LEFT,15,24,0.0
LEFT,15,25,0.0
LEFT,15,26,0.0
LEFT,15,27,0.0
LEFT,15,28,0.0
LEFT,15,29,0.0
LEFT,15,30,0.0
